race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances,c1,c2,c3,c4,c5
Bahrain,8,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,99.275,6.607,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,8,0,14,1,0,0,57,0.140350877,0.140350877,0.245614035,5412,1,1,1,0,0
Bahrain,9,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,99.424,7.224,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,9,0,14,1,0,0,57,0.157894737,0.157894737,0.245614035,5412,1,1,1,0,0
Bahrain,10,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,99.682,7.783,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,10,0,14,1,0,0,57,0.175438596,0.175438596,0.245614035,5412,1,1,1,0,0
Bahrain,11,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,99.942,8.419,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,11,0,14,1,0,0,57,0.192982456,0.192982456,0.245614035,5412,1,1,1,0,0
Bahrain,12,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,100.097,9.26,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,12,0,14,1,0,0,57,0.210526316,0.210526316,0.245614035,5412,1,1,1,0,0
Bahrain,13,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,100.165,10.146,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,13,0,14,1,0,0,57,0.228070175,0.228070175,0.245614035,5412,1,1,1,0,0
Bahrain,14,SAI,825,Ferrari,Ferrari 066/7,3,90.687,4,103.029,13.546,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,0,1,33,1,0,0,57,0.245614035,0,0.578947368,5412,1,1,1,0,0
Bahrain,15,SAI,825,Ferrari,Ferrari 066/7,3,90.687,5,118.327,29.832,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,24.666,1,0,1,0,33,1,0,0,57,0.263157895,0.01754386,0.578947368,5412,1,1,1,0,0
Bahrain,16,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.477,9.649,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,2,0,33,1,0,0,57,0.280701754,0.035087719,0.578947368,5412,1,1,1,0,0
Bahrain,17,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.172,9.301,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,3,0,33,1,0,0,57,0.298245614,0.052631579,0.578947368,5412,1,1,1,0,0
Bahrain,18,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.561,9.228,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,4,0,33,1,0,0,57,0.315789474,0.070175439,0.578947368,5412,1,1,1,0,0
Bahrain,19,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.581,9.401,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,5,0,33,1,0,0,57,0.333333333,0.087719298,0.578947368,5412,1,1,1,0,0
Bahrain,20,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.059,9.898,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,6,0,33,1,0,0,57,0.350877193,0.105263158,0.578947368,5412,1,1,1,0,0
Bahrain,21,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.721,9.812,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,7,0,33,1,0,0,57,0.368421053,0.122807018,0.578947368,5412,1,1,1,0,0
Bahrain,22,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.914,9.974,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,8,0,33,1,0,0,57,0.385964912,0.140350877,0.578947368,5412,1,1,1,0,0
Bahrain,23,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.244,10.444,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,9,0,33,1,0,0,57,0.403508772,0.157894737,0.578947368,5412,1,1,1,0,0
Bahrain,24,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.242,10.773,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,10,0,33,1,0,0,57,0.421052632,0.175438596,0.578947368,5412,1,1,1,0,0
